Semester_Week,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,hour,minute,sin_hour,cos_hour,Day_Of_Week,Is_weekend,Semester_Spring 2017,Class_Standing_Graduate,Class_Standing_Junior,Class_Standing_Other,Class_Standing_Senior,Class_Standing_Sophomore,Expected_Graduation_Fall Semester 2019,Expected_Graduation_Fall Semester 2020,Expected_Graduation_Spring Semester 2017,Expected_Graduation_Spring Semester 2018,Expected_Graduation_Spring Semester 2020,Expected_Graduation_Spring Semester 2021,Expected_Graduation_Summer Semester 2017,Expected_Graduation_Summer Semester 2018,Expected_Graduation_Summer Semester 2019,Expected_Graduation_Summer Semester 2020,Gender_MALE,time_bin_Evening,time_bin_Morning,course_level_Grad level Course,course_level_Junior level Course,course_level_Senior level Course,course_level_Sophomore level Course,course_level_Unknown course number,occupancy
13,12,3.25,146.0,2.836,0.414,13,27,-0.2588190451025208,-0.9659258262890683,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
11,12,3.25,146.0,2.836,0.414,11,3,0.258819045102521,-0.9659258262890682,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8
16,12,3.25,146.0,2.836,0.414,10,11,0.49999999999999994,-0.8660254037844387,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
11,12,3.25,146.0,2.836,0.414,11,46,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,16
9,12,3.25,146.0,2.836,0.414,12,21,1.2246467991473532e-16,-1.0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12
6,12,3.25,146.0,2.836,0.414,11,9,0.258819045102521,-0.9659258262890682,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4
4,12,3.25,146.0,2.836,0.414,14,57,-0.4999999999999998,-0.8660254037844388,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20
7,16,2.538,164.0,2.814,-0.276,15,47,-0.7071067811865471,-0.7071067811865479,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
5,16,2.538,164.0,2.814,-0.276,17,40,-0.9659258262890683,-0.25881904510252063,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
5,15,4.0,158.0,3.878,0.122,15,30,-0.7071067811865471,-0.7071067811865479,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
16,19,3.5,150.0,3.363,0.137,10,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13
13,14,2.214,129.0,2.47,-0.256,16,3,-0.8660254037844384,-0.5000000000000004,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
17,14,3.142,125.0,3.285,-0.143,9,42,0.7071067811865476,-0.7071067811865475,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
10,14,3.142,125.0,3.285,-0.143,10,44,0.49999999999999994,-0.8660254037844387,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7
10,14,3.142,125.0,3.285,-0.143,17,14,-0.9659258262890683,-0.25881904510252063,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16
6,14,3.142,125.0,3.285,-0.143,11,39,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,6
14,14,3.142,125.0,3.285,-0.143,16,53,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9
11,14,1.538,85.0,2.042,-0.504,11,29,0.258819045102521,-0.9659258262890682,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7
16,14,1.538,85.0,2.042,-0.504,11,27,0.258819045102521,-0.9659258262890682,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
15,14,1.538,85.0,2.042,-0.504,11,25,0.258819045102521,-0.9659258262890682,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
13,14,1.538,85.0,2.042,-0.504,11,28,0.258819045102521,-0.9659258262890682,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9
12,14,1.538,85.0,2.042,-0.504,11,32,0.258819045102521,-0.9659258262890682,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11
